species,min,max
Abuta chocoensis,90,650
Acalypha diversifolia,2.5,3800
Acianthera cogniauxiana,300,1900
Acianthera verecunda,5,600
Acmella sodiroi,42,2000
Adelobotrys adscendens,5,2800
Adelonema peltatum,10,1032
Adiantum macrophyllum,30,1900
Adiantum urophyllum,80,3000
Aechmea angustifolia,2,2342
Aeschynomene americana,1,3200
Ageratum conyzoides,5,3590.5
Allomarkgrafia foreroi,180,1498
Alternanthera lanceolata,15,3332
Amauropelta amphioxypteris,20,2800
Amauropelta resinifera,30,1800
Amphidasya amethystina,250,840
Amphilophium paniculatum,2,2720
Amyris centinelensis,450,700
Anathallis angulosa,450,700
Anathallis lasioglossa,450,3000
Andea sodiroana,150,2800
Andira inermis,2,1995
Andira macrothyrsa,20,1450
Anemopaegma chrysanthum,2,2125
Annona conica,26,700
Annona deceptrix,150,1200
Annona neglecta,80,2250
Annona papilionella,5,2288
Annona quinduensis,425,2910
Anomospermum chloranthum,10,1760
Anthurium acutinervium,60.96,1000
Anthurium acutissimum,520,1200
Anthurium albispadix,5,1500
Anthurium arcuatum,775,2250
Anthurium argyrostachyum,160,2300
Anthurium caldodsonii,450,1270
Anthurium centinellense,450,1000
Anthurium cornejoi,30,1000
Anthurium cuspidatum,5,2300
Anthurium dolichostachyum,50,4000
Anthurium furcatum,200,1480
Anthurium iltisii,250,637.5
Anthurium interruptum,20,2525
Anthurium laciniosum,220,1900
Anthurium marmoratum,150,2150
Anthurium michelii,5,2000
Anthurium microspadix,100,3100
Anthurium minutiglandulum,450,1000
Anthurium monteverdense,450,1700
Anthurium nigropunctatum,40,2000
Anthurium obscurinervium,100,2000
Anthurium obtusum,3,2400
Anthurium pallens,350,2600
Anthurium pallidiflorum,20,1505
Anthurium panduriforme,80,2700
Anthurium samamaense,250,775
Anthurium scandens,5,3340
Anthurium sodiroanum,38,1960
Anthurium subcoerulescens,185,1505
Anthurium trisectum,5,1800
Anthurium truncicola,180,2725
Anthurium versicolor,45,3200
Anthurium warocqueanum,20,3269
Aphelandra aurantiaca,8.5,2390
Aphelandra vitellina,100,1890
Arawakia sphenophylla,130,1400
Ardisia croatii,19,1341.12
Aspidogyne jamesonii,20,600
Asplenium auriculatum,1,3540
Asplenium ecuadorense,250,2550
Asplenium hallii,70,1083
Asplenium holophlebium,100,4000
Asplenium juglandifolium,5,2150
Asplenium rutaceum,115,3225
Asplenium serratum,5,2150
Asplundia cayapensis,80,1180
Asplundia domingensis,100,600
Asplundia stenophylla,75,2164.08
Asplundia vagans,50,2190
Asystasia gangetica,2,1832.61
Austroeupatorium decemflorum,100,2100
Axonopus compressus,2,3946
Baccharis trinervis,3,3680
Bauhinia flagelliflora,500,700
Bauhinia pichinchensis,200,1800
Begonia dodsonii,600,2000
Begonia glabra,30.48,2400
Begonia harlingii,500,3000
Begonia hitchcockii,600,2800
Begonia secunda,400,2000
Begonia sericoneura,155,1560
Bellucia umbellata,110,530
Bertiera procumbens,10,600
Besleria tambensis,38,2730
Bidens pilosa,1,3825
Billia rosea,193,3906
Bixa orellana,3.89,3340
Blakea dodsoniorum,200,2800
Blakea involvens,100,1980
Blakea rotundifolia,118,2385
Blakea subconnata,5,2795
Bocconia integrifolia,500,3650
Boehmeria ramiflora,50,3500
Bolbitis occidentalis,400,800
Bomarea obovata,10,1815
Brassia arcuigera,80,1889
Brassia incantans,152,1400
Brassia lanceana,185,1100
Brosimum utile,1,2400
Brownea multijuga,15,725
Browneopsis macrofoliolata,500,846
Brugmansia versicolor,19,2750
Bryopteris filicina,20,2900
Burmeistera crassifolia,320.5,2025
Burmeistera crispiloba,500,2795
Burmeistera cyclostigmata,50,2525
Burmeistera succulenta,25,3050
Calathea crotalifera,1,2200
Calathea guzmanioides,5,1900
Campyloneurum fuscosquamatum,100,2400
Campyloneurum magnificum,200,2000
Carapa guianensis,1,2257.5
Carapa megistocarpa,100,1950
Carex donnell-smithii,450,3200
Carludovica drudei,2,1650
Carpotroche longifolia,2,1380
Carpotroche platyptera,25,1250
Carpotroche ramosii,80,750
Caryodaphnopsis theobromifolia,125,2800
Casearia arborea,2,2527
Casearia obovalis,20,1890
Casearia prunifolia,100,2800
Casimiroa tetrameria,6,1500
Castilla elastica,5,2200
Cecropia angustifolia,95,2800
Cecropia hispidissima,30,2003
Cecropia reticulata,25,1900
Celtis iguanaea,2,2100
Centrosema plumieri,5,2100
Cestrum racemosum,15,2460
Cestrum schlechtendalii,1,3140
Chamissoa altissima,6,2950
Chaptalia nutans,15,3650
Chelonanthus alatus,5,1800
Chloris radiata,3,2400
Chlorospatha atropurpurea,140,1875
Chlorospatha dodsonii,204,1500
Chlorospatha ilensis,282,1505
Christella dentata,5,3447
Chryso-hypnum diminutivum,100,3700
Chrysochlamys balboa,80,1000
Chrysochlamys dependens,15,2832
Chrysophyllum argenteum,3,2600
Chrysophyllum venezuelanense,15,2500
Cinchona pubescens,25,3363
Cissampelos andromorpha,1,2400
Cissampelos pareira,5,3049
Cissus fusifolia,10,1650
Cissus verticillata,1,2900
Citronella incarum,50,3370
Citronella melliodora,108,3093
Clarisia biflora,5,2900
Clavija membranacea,10,1500
Clibadium eggersii,5,2900
Clibadium microcephalum,300,2280
Clusia congestiflora,100,3157
Clusia laurifolia,5,2466.5
Clusia penduliflora,50,2400
Clusia rosea,7.5,2607.77
Clusia rotundata,15,2550
Clusia stenophylla,5,3119
Coccoloba lehmannii,4,1240
Coccoloba mollis,30,2132
Coccoloba obovata,2,1447.5
Cochlidium serrulatum,30,3500
Columnea angustata,5,2150
Columnea asteroloma,185,1500
Columnea byrsina,450,2500
Columnea eburnea,50,2250
Columnea floribunda,450,900
Columnea herthae,60,2022
Columnea kienastiana,5,3360
Columnea lehmannii,70,2275
Columnea medicinalis,50,3000
Columnea minor,38,2250
Columnea minutiflora,5,2200
Columnea parviflora,5,2250
Columnea picta,5,2830
Columnea rubriacuta,7.5,2250
Columnea schimpffii,150,2290
Columnea spathulata,30,2000
Commelina diffusa,1,3300
Comparettia gentryi,600,1000
Compsoneura mutisii,25,3050
Conceveiba martiana,90,1450
Condea verticillata,1,1750
Cordia alliodora,3,3504
Cordia dwyeri,20,2700
Cordia ucayaliensis,80,2550
Costus geothyrsus,70,600
Costus laevis,5,2000
Costus pulverulentus,1,2130
Couepia chrysocalyx,38,2097
Coussarea latifolia,80,1800
Cremastosperma stenophyllum,500,1000
Cremosperma castroanum,50,2060
Crotalaria nitens,10,3200
Croton pachypodus,115,2000
Ctenitis sloanei,10,2136
Cupania americana,5,2800
Cupania cinerea,5,3548
Cuphea racemosa,100,3413
Cyathea delgadii,192.5,3092
Cyathea multiflora,13,3443
Cyathea pungens,80,2150
Cyathula achyranthoides,1,3542
Cybianthus simplex,60,2450
Cyclopogon epiphyticus,185,2000
Cynophalla ecuadorica,20,1025
Cyperus laxus,1,2095
Cyperus luzulae,2,3000
Danaea latipinna,250,700
Daphnopsis grandis,450,2095
Dennstaedtia obtusifolia,37.5,2800
Desmoncus cirrhifer,5,900
Dianthera comata,3,3013
Dianthoveus cremnophilus,200,1500
Diastatea micrantha,185,3400
Diastema affine,100,2500
Diastema scabrum,100,1848
Dichaea angustisegmenta,220,2065
Dichaea ecuadorensis,406,2400
Dichaea longa,200,2600
Dichaea morrisii,200,2900
Dichaea riopalenquensis,185,1300
Dichaea sodiroi,450,2207
Dichaea trulla,100,1850
Dichapetalum nervatum,40,1500
Dichorisandra hexandra,5,2735
Dichorisandra ulei,71,1950
Dicranopygium calimense,50,650
Dicranopygium cuatrecasasianum,35,1400
Dicranopygium rheithrophilum,180,800
Dieffenbachia antioquensis,600,920
Dieffenbachia centinelasensis,450,700
Dieffenbachia killipii,5,2000
Dieffenbachia tonduzii,20,1925
Digitaria setigera,2.5,1700
Dioscorea haenkeana,189,1040
Diplazium chimborazense,315,2500
Diplazium divisissimum,620,2200
Diplazium grandifolium,20,2578
Diplazium rivale,450,1600
Diplazium striatastrum,50,2250
Dipteryx oleifera,5,1550
Doliocarpus multiflorus,5,1200
Dracontium croatii,70,1330
Dressleria fragrans,400,1400
Drymonia alloplectoides,5,3050
Drymonia brochidodroma,250,2200
Drymonia chiribogana,409,1900
Drymonia dodsonii,50,2800
Drymonia ecuadorensis,20,2000
Drymonia laciniosa,50,630.5
Drymonia macrophylla,5,2320
Drymonia teuscheri,50,3300
Drymonia turrialvae,52.5,2780
Drymonia warszewicziana,7.5,2400
Duranta erecta,1,3600
Dussia lehmannii,25,2460
Elaphoglossum boragineum,100,1800
Elaphoglossum ciliatum,244,3800
Elaphoglossum cinereum,450,700
Elaphoglossum corderoanum,450,3925
Elaphoglossum decursivum,450,2200
Elaphoglossum guentheri,450,3419
Elaphoglossum latum,50,2119
Elaphoglossum palorense,450,3050
Elaphoglossum pygmaeum,375,2835
Eleocharis retroflexa,2,3650
Elephantopus mollis,1,3340
Eleusine indica,1,3600
Elissarrhena longipes,65,1150
Elleanthus arpophyllostachys,600,3200
Elleanthus capitatus,220,2900
Epidendrum batesii,250,1500
Epidendrum cirrhochilum,600,1709
Epidendrum echinatum,70,1100
Epidendrum ilense,185,700
Epidendrum jejunum,5,1134
Epidendrum littorale,16,550
Epidendrum macroophorum,100,2050
Epidendrum mininocturnum,40,1160
Epidendrum pseudopaniculatum,185,1200
Epidendrum rhizomaniacum,250,1650
Epidendrum williamsii,30,1500
Episcia cupreata,1,2040
Equisetum bogotense,100,4100
Erechtites valerianifolius,21,3340
Erigeron laevigatus,5,1828.8
Ertela trifolia,25,1225
Eryngium foetidum,1,3542
Erythrochiton giganteus,90,600
Erythroxylum macrophyllum,5,2300
Eschweilera podoaquilae,450,750
Eschweilera rimbachii,80,1850
Eugenia crassimarginata,150,2750
Evodianthus funifer,5,2440
Faramea grandifolia,50,2148
Faramea langlassei,130,2400
Ficus aurea,17.5,2550
Ficus caldasiana,100,2257.5
Ficus krukovii,30,2100
Ficus macbridei,10,1800
Ficus tonduzii,10,3019
Gasteranthus atratus,600,1000
Gasteranthus calcaratus,50,2500
Gasteranthus carinatus,350,1417.5
Gasteranthus corallinus,70,2224
Gasteranthus extinctus,560,840
Gasteranthus glaber,600,2700
Gasteranthus macrocalyx,500,1950
Gasteranthus perennis,164,1825
Gasteranthus timidus,100,1500
Gasteranthus villosus,10,580
Geissanthus fallenae,450,2750
Geissanthus longistamineus,11,2900
Geissanthus pichinchana,500,700
Genipa americana,2,2300
Geonoma cuneata,5,2150
Geonoma lanata,190,1800
Geonoma tenuissima,500,700
Gleichenella pectinata,5,2500
Gloeospermum grandifolium,130,2380
Gloeospermum longifolium,80,2250
Glossoloma herthae,520,3055
Glossoloma sprucei,50,2775
Glossoloma subglabrum,79,2450
Gloxinia perennis,13.37,1400
Goeppertia chimboracensis,110,1200
Goeppertia marantifolia,5,1900
Goeppertia multicincta,200,1800
Goeppertia roseobracteata,200,700
Gongora aceras,280,1200
Gongora grossa,70,1200
Gongora ilense,170,800
Goniopteris eggersii,15,3250
Goniopteris urbani,32,1250
Gonolobus fimbriatiflorus,55,600
Gonzalagunia sessilifolia,150,1450
Grias peruviana,50,2129
Grona adscendens,2,2920
Guarea glabra,5,2462
Guarea pubescens,2,3270
Guatteria microcarpa,150,566
Guatteria venosa,250,1663
Guettarda sanblasensis,10,850
Gurania bignoniacea,20,2378
Gurania lobata,10,2900
Gustavia angustifolia,5,1200
Gustavia dodsonii,60,1630
Guzmania alborosea,282,1350
Guzmania angustifolia,350,2300
Guzmania conglomerata,38,1915
Guzmania eduardi,100,1710
Guzmania hitchcockiana,100,2500
Guzmania remyi,175,1210
Hamelia patens,1,3250
Handroanthus chrysanthus,7,2430
Hebeclinium macrophyllum,20,2730
Heisteria erythrocarpa,70,1200
Heliconia aemygdiana,93,2100
Heliconia curtispatha,2.5,1443
Heliconia nigripraefixa,10,1066
Heliconia obscuroides,18,1575
Heliconia ramonensis,90,1300
Heliconia regalis,45,1775
Heliconia reticulata,27.5,1219.2
Heliconia spathocircinata,16,1725
Heliconia stricta,66,1900
Heliotropium gigantifolium,90,2442
Heliotropium rufipilum,2.5,3400
Heliotropium verdcourtii,2,3000
Helosis cayennensis,5,2570
Hemidictyum marginatum,5,1950
Herrania balaensis,10,800
Hillia parasitica,200,2800
Hippotis comosa,150,600
Hiraea cephalotes,100,2500
Hoffmannia ecuatoriana,200,1980
Hoffmannia josefina,450,2750
Hoffmannia tenuis,185,600
Hoffmannia viridis,125,1940
Homolepis aturensis,1.5,2103
Huertea glandulosa,95,2580
Huntleya fasciata,400,1000
Huntleya meleagris,70,1500
Huntleya wallisii,50,850
Hydrangea peruviana,55,3946
Hydrangea trianae,450,2565
Hydrocotyle leucocephala,5,3224
Hymenasplenium laetum,10,2722
Hymenasplenium repandulum,410,2735
Hymenasplenium volubile,282,2175
Hymenophyllum fucoides,440,3820
Hymenophyllum hirsutum,50,3400
Hymenostephium rivularis,50,1781
Hyospathe elegans,7.5,2213
Hyptis atrorubens,10,2756
Hyptis obtusiflora,17.5,2122
Inga acrocephala,2,2862
